Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.75,-.32,-.4,-.59,-.29,-.42,-.4,.14,-.42,-.6,-.44,-.45,-.41,*,*,-.43,-.22,-.49
1881,-.69,-.54,-.28,-.2,.03,-1.05,-.46,-.18,-.3,-.42,-.5,-.08,-.39,-.42,-.56,-.15,-.56,-.41
1882,.17,-.06,-.03,-.53,-.32,-.97,-.64,-.06,-.02,-.26,-.34,-.61,-.3,-.26,.01,-.29,-.56,-.2
1883,-.62,-.89,-.4,-.26,-.3,.5,.06,-.09,-.39,-.51,-.63,-.32,-.32,-.34,-.7,-.32,.16,-.51
1884,-.53,-.28,-.34,-.88,-1.14,-.76,-.78,.21,-.3,-.71,-.75,-.92,-.6,-.55,-.38,-.78,-.44,-.59
1885,-.86,-.73,-.85,-.81,-.44,-.88,-.54,-.11,-.09,.02,-.33,.08,-.46,-.55,-.84,-.7,-.51,-.13
1886,-.71,-.77,-.63,-.55,-.5,-.78,-.33,-.69,-.36,-.81,-.44,-.68,-.6,-.54,-.47,-.56,-.6,-.54
1887,-.79,-1.19,-.51,-.77,-.79,-.6,-.33,-.19,-.56,-.47,-.85,-.58,-.64,-.64,-.89,-.69,-.37,-.62
1888,-.74,-.79,-.84,-.26,-.7,-.51,-.29,-.32,-.36,-.26,-.07,-.19,-.44,-.48,-.7,-.6,-.37,-.23
1889,-.28,.18,.08,.15,.09,-.23,-.42,-.6,-.36,-.2,-.43,-.38,-.2,-.18,-.09,.11,-.42,-.33
1890,-.56,-.6,-.6,-.53,-.91,-.55,-.58,-.59,-.32,-.25,-.73,-.49,-.56,-.55,-.51,-.68,-.57,-.43
1891,-.94,-1.03,-.51,-.67,-.48,-.55,-.71,-.57,-.49,-.57,-.55,.04,-.59,-.63,-.82,-.55,-.61,-.54
1892,-.6,-.29,-.58,-.69,-.64,-.55,-.33,-.23,-.44,-.31,-.6,-.57,-.49,-.43,-.28,-.64,-.37,-.45
1893,-1.4,-.97,-.57,-.63,-.71,-.65,-.11,-.33,-.24,-.07,-.12,-.35,-.51,-.53,-.98,-.64,-.36,-.14
1894,-.83,-.6,-.39,-.62,-.64,-.47,-.35,-.28,-.42,-.07,-.14,-.15,-.41,-.43,-.59,-.55,-.37,-.21
1895,-.67,-.77,-.49,-.45,-.29,-.27,-.49,-.18,-.11,-.07,-.14,-.05,-.33,-.34,-.53,-.41,-.31,-.1
1896,-.21,-.27,-.51,-.46,-.44,-.45,-.19,-.35,-.08,.02,-.43,-.19,-.3,-.28,-.18,-.47,-.33,-.16
1897,-.23,-.49,-.31,-.1,-.26,-.17,-.1,-.31,-.14,-.21,-.02,-.24,-.22,-.21,-.31,-.23,-.19,-.12
1898,-.11,-.45,-.81,-.58,-.64,-.3,-.36,-.26,-.05,-.42,-.47,-.21,-.39,-.39,-.27,-.68,-.31,-.32
1899,-.43,-.6,-.4,-.26,-.42,-.55,-.3,-.29,-.02,-.29,-.03,-.22,-.32,-.32,-.41,-.36,-.38,-.12
